"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2024-12-17","73.81","73.91","73.98","73.76","8.08K","-0.14%"
"2024-12-16","73.91","73.91","74.42","73.91","229.43K","-0.65%"
"2024-12-15","74.39","74.43","74.49","74.28","","-0.13%"
"2024-12-13","74.49","73.33","74.59","73.30","246.40K","1.47%"
"2024-12-12","73.41","73.60","74.00","72.42","324.25K","-0.15%"
"2024-12-11","73.52","72.15","73.75","72.15","308.96K","1.84%"
"2024-12-10","72.19","71.94","72.72","71.53","265.90K","0.07%"
"2024-12-9","72.14","70.92","72.65","70.92","231.21K","1.43%"
"2024-12-6","71.12","72.12","72.19","70.85","290.06K","-1.35%"
"2024-12-5","72.09","72.52","72.92","71.80","318.76K","-0.30%"
"2024-12-4","72.31","73.62","74.28","72.25","340.35K","-1.78%"
"2024-12-3","73.62","71.93","73.93","71.68","365.42K","2.49%"
"2024-12-2","71.83","72.00","72.89","71.52","289.49K","-1.52%"
"2024-11-29","72.94","73.11","73.47","72.56","23.33K","-0.46%"
"2024-11-28","73.28","72.87","73.49","72.38","49.82K","0.62%"
"2024-11-27","72.83","72.88","73.37","72.27","106.53K","0.03%"
"2024-11-26","72.81","72.85","74.36","72.09","200.70K","-0.27%"
"2024-11-25","73.01","75.38","75.38","72.84","282.16K","-2.17%"
"2024-11-22","74.63","73.80","74.86","72.95","359.21K","1.17%"
"2024-11-21","73.77","72.76","73.99","72.58","299.22K","1.77%"
"2024-11-20","72.49","73.05","73.60","72.39","219.36K","-0.69%"
"2024-11-19","72.99","72.86","73.60","72.36","288.93K","-0.03%"
"2024-11-18","73.01","70.60","73.17","70.45","229.40K","3.15%"